,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
28,Saint George,20,GR,1539310800,67,39.45,22.34,60.8,5.82
29,Aktau,75,KZ,1539309600,100,43.65,51.16,51.8,8.95
30,Upata,24,VE,1539312106,84,8.02,-62.41,74.21,6.51
31,Avarua,75,CK,1539309600,65,-21.21,-159.78,78.8,17.22
32,Bluff,92,AU,1539312106,59,-23.58,149.07,79.11,10.42
33,Mataura,92,NZ,1539312106,67,-46.19,168.86,43.7,19.04
34,Port Victoria,0,AU,1539312106,75,-34.5,137.49,66.87,11.99
35,Verkh-Usugli,8,RU,1539311980,47,52.7,115.17,50.81,3.6
36,Grindavik,75,IS,1539309600,81,63.84,-22.43,46.4,20.8
37,Geraldton,90,CA,1539309600,92,49.72,-86.95,28.4,10.29
38,Beringovskiy,92,RU,1539312107,100,63.05,179.32,41.04,24.52
39,Vao,8,EE,1539312107,97,59.1,26.19,47.97,5.95
40,Swellendam,80,ZA,1539309600,67,-34.02,20.44,59.0,9.17
41,Hrubieszow,0,PL,1539312108,90,50.8,23.89,45.23,9.19
42,Tasiilaq,92,GL,1539309000,100,65.61,-37.64,33.8,8.05
43,Daru,36,SL,1539312108,97,7.99,-10.85,69.84,2.93
44,Kupang,0,ID,1539309600,38,-10.16,123.6,91.4,8.05
45,Cape Town,20,ZA,1539309600,76,-33.93,18.42,57.2,17.22
46,Luanda,75,AO,1539309600,88,-8.83,13.24,73.4,6.93
47,Joshimath,0,IN,1539312109,87,30.57,79.57,13.28,0.92
48,Benguela,88,AO,1539312109,100,-12.58,13.4,71.06,2.04
49,Hofn,32,IS,1539312109,97,64.25,-15.21,46.76,14.12
50,Labuhan,24,ID,1539312110,67,-2.54,115.51,86.45,1.03
51,Puerto Ayora,0,EC,1539312110,100,-0.74,-90.35,70.29,12.88
52,Santa Marta,75,CO,1539309600,94,11.24,-74.21,77.0,6.93
53,Lingao,68,CN,1539312110,86,19.91,109.69,79.25,11.65
54,Hermanus,44,ZA,1539312111,90,-34.42,19.24,51.98,6.29
55,New Norfolk,75,AU,1539309600,62,-42.78,147.06,57.2,11.41
56,Sechura,0,PE,1539312111,89,-5.56,-80.82,64.76,10.2
57,Mpika,76,ZM,1539312111,46,-11.84,31.4,70.65,7.74
58,Luderitz,64,NA,1539309600,51,-26.65,15.16,62.6,24.16
59,Provideniya,75,RU,1539309600,87,64.42,-173.23,42.8,17.9
60,Atuona,76,PF,1539312112,100,-9.8,-139.03,79.92,18.03
61,Kosa,56,RU,1539312112,75,59.94,54.99,32.36,12.33
62,Port Moresby,0,PG,1539312112,93,-9.47,147.16,80.06,14.79
63,Cheney,90,US,1539309480,51,47.49,-117.58,51.98,8.05
64,Jieshi,76,CN,1539312113,100,22.82,115.83,71.64,19.82
65,Cuxhaven,20,DE,1539310800,71,53.87,8.7,57.2,6.93
66,Dubbo,40,AU,1539309600,43,-32.25,148.6,69.8,20.8
67,Mount Gambier,0,AU,1539312113,66,-37.83,140.78,68.81,6.73
68,Longyearbyen,75,NO,1539309000,88,78.22,15.63,32.0,24.16
69,Ugoofaaru,92,MV,1539312114,100,5.67,73.0,82.08,9.64
70,Saint-Augustin,0,FR,1539311400,93,44.83,-0.61,62.6,8.05
71,Matamoros,40,US,1539309180,91,25.87,-97.51,82.04,9.17
72,Jamestown,0,AU,1539312114,44,-33.21,138.6,72.45,5.5
73,Mar del Plata,0,AR,1539312115,51,-46.43,-67.52,48.38,13.0
74,Avera,1,US,1539309300,59,33.19,-82.53,75.02,8.05
75,Laguna,75,MX,1539308520,69,27.52,-110.01,78.8,3.36
76,East London,24,ZA,1539312115,100,-33.02,27.91,65.34,24.74
77,Wanning,88,AT,1539309000,76,48.64,13.53,50.0,2.24
78,Manado,40,ID,1539311400,59,1.49,124.85,89.6,4.7
79,Cidreira,68,BR,1539312116,76,-30.17,-50.22,63.95,17.58
80,Sao Mateus do Maranhao,20,BR,1539312116,92,-4.04,-44.48,75.96,7.07
81,Sokolniki,0,PL,1539311400,76,53.48,15.14,57.2,12.75
82,Atbasar,56,KZ,1539312116,96,51.81,68.36,43.02,7.74
83,San Patricio,80,PY,1539312117,96,-26.98,-56.83,71.51,3.71
84,Victor Harbor,0,AU,1539309600,29,-35.55,138.62,75.2,14.99
85,Salmas,40,IR,1539309600,93,38.2,44.77,48.2,4.7
86,Itoman,75,JP,1539310200,100,26.12,127.67,66.2,12.75
87,Port Alfred,92,ZA,1539312117,100,-33.59,26.89,62.28,12.1
88,Nikolskoye,90,RU,1539309600,100,59.7,30.79,42.8,6.71
89,Constitucion,40,MX,1539308580,32,23.99,-104.67,66.2,8.05
90,Nabire,76,ID,1539312118,89,-3.36,135.5,76.28,2.59
91,Mahebourg,20,MU,1539309600,64,-20.41,57.7,71.6,12.75
92,Gallup,90,US,1539309180,60,35.53,-108.74,53.06,8.97
93,Kuching,75,MY,1539307800,88,1.56,110.34,78.8,1.12
94,Torbay,90,CA,1539309600,69,47.66,-52.73,35.6,8.05
95,Saint-Philippe,90,CA,1539311700,100,45.36,-73.48,51.08,3.36
96,Santa Rosa,48,AR,1539312121,68,-36.62,-64.29,54.18,12.88
97,Saldanha,24,PT,1539312121,95,41.42,-6.55,51.39,6.51
98,Kamenka,0,RU,1539312121,93,53.19,44.05,32.76,7.18
99,Nguruka,92,TZ,1539312121,50,-5.11,31.04,73.89,4.38
100,Guarapari,75,BR,1539309600,83,-20.67,-40.5,77.0,9.17
101,Talnakh,88,RU,1539312122,90,69.49,88.39,30.78,21.27
102,Hasaki,75,JP,1539309600,82,35.73,140.83,68.0,11.41
103,Surin,0,TH,1539309600,78,14.88,103.49,78.8,12.75
104,Majene,0,ID,1539312122,95,-3.54,118.97,84.38,6.17
105,Georgetown,0,GY,1539309600,94,6.8,-58.16,77.0,4.7
106,Goderich,68,CA,1539312123,83,43.74,-81.71,50.67,21.72
107,Qaanaaq,64,GL,1539312123,100,77.48,-69.36,22.5,10.42
108,Naze,80,NG,1539312123,97,5.43,7.07,71.15,3.04
109,Nemuro,75,JP,1539309600,93,43.32,145.57,57.2,2.24
110,Oussouye,0,SN,1539309600,94,12.49,-16.54,80.6,4.7
111,Port Hedland,0,AU,1539309600,21,-20.31,118.58,95.0,12.75
112,Upernavik,0,GL,1539312124,100,72.79,-56.15,25.11,11.99
113,Ponta Delgada,75,PT,1539309600,94,37.73,-25.67,71.6,24.16
114,Carnarvon,92,ZA,1539312124,43,-30.97,22.13,56.48,8.75
115,Guerrero Negro,92,MX,1539312124,92,27.97,-114.04,67.86,6.73
116,Evensk,76,RU,1539312125,100,61.92,159.24,41.18,4.72
117,Tibati,48,CM,1539312125,92,6.47,12.63,64.8,2.93
118,Ambilobe,0,MG,1539312125,67,-13.19,49.05,73.53,15.12
119,Mayo,75,CA,1539309600,91,63.59,-135.9,32.0,2.59
120,Sur,0,OM,1539312125,100,22.57,59.53,77.9,8.41
121,Port-Cartier,90,CA,1539309600,69,50.03,-66.88,35.6,9.17
122,Ponta do Sol,24,BR,1539312126,64,-20.63,-46.0,72.99,10.65
123,Estevan,1,CA,1539310500,92,49.14,-102.99,28.4,2.93
124,Palencia,76,ES,1539312126,96,42.01,-4.53,54.0,8.86
125,Kruisfontein,100,ZA,1539312126,100,-34.0,24.73,59.85,12.44
126,Kongwa,0,TZ,1539312127,93,-6.19,36.41,55.08,4.94
127,Zhoucheng,0,CN,1539312127,56,31.35,119.33,67.68,6.4
128,Edd,0,ER,1539312127,59,13.93,41.69,62.82,0.58
129,Kodiak,1,US,1539309180,88,39.95,-94.76,42.08,2.93
130,Tessalit,0,ML,1539312127,34,20.2,1.01,68.76,9.64
131,Vanimo,36,PG,1539312128,100,-2.67,141.3,83.88,11.65
132,Itarema,0,BR,1539312193,87,-2.92,-39.92,75.96,13.78
133,Faanui,36,PF,1539312128,100,-16.48,-151.75,79.83,15.35
134,Ribeira Grande,92,PT,1539312128,100,38.52,-28.7,69.3,31.9
135,Kiunga,88,PG,1539312129,96,-6.12,141.3,76.23,2.71
136,Ixtapa,75,MX,1539308640,74,20.71,-105.21,82.4,4.7
137,Lavrentiya,88,RU,1539312129,100,65.58,-170.99,42.93,19.15
138,Baruun-Urt,0,MN,1539312130,36,46.68,113.28,50.0,14.45
139,Lorengau,32,PG,1539312130,92,-2.02,147.27,86.67,10.54
140,Axim,92,GH,1539312130,99,4.87,-2.24,78.8,8.86
141,Kula,0,RS,1539311400,87,45.61,19.53,46.4,4.7
142,Abu Samrah,12,SY,1539312131,88,35.3,37.18,56.93,1.92
143,Demmin,0,DE,1539310800,76,53.91,13.03,53.6,4.7
144,Lata,0,IN,1539312131,72,30.78,78.62,51.12,2.04
145,Eganville,90,CA,1539309600,76,45.54,-77.1,51.8,5.82
146,Saskylakh,64,RU,1539312126,96,71.97,114.09,26.82,4.61
147,Yeniseysk,20,RU,1539312132,68,58.45,92.17,37.44,4.94
148,Nisia Floresta,20,BR,1539309600,69,-6.09,-35.21,78.8,12.75
149,Panguna,88,PG,1539312132,89,-6.32,155.48,80.1,3.71
150,Kavaratti,80,IN,1539312132,99,10.57,72.64,83.79,10.09
151,Monroe,90,US,1539310740,61,41.91,-83.4,50.0,11.41
152,Hilo,90,US,1539309180,69,19.71,-155.08,80.06,6.93
153,Yar-Sale,88,RU,1539312133,100,66.83,70.83,32.31,16.91
154,Chikwawa,0,MW,1539312133,88,-16.03,34.79,66.87,2.59
155,Pompeu,20,BR,1539309600,78,-21.05,-48.85,73.4,6.93
156,Tiksi,44,RU,1539312134,98,71.64,128.87,29.21,3.94
157,Vaals,8,BE,1539311100,77,50.77,6.02,66.2,11.41
158,Thunder Bay,20,CA,1539309600,82,48.41,-89.26,32.0,9.17
159,Marzuq,0,YE,1539312134,49,14.4,46.47,49.68,1.36
160,Rome,0,IT,1539309000,88,41.89,12.48,62.6,5.82
161,Lompoc,90,US,1539309360,74,34.64,-120.46,62.96,5.82
162,Tazovskiy,92,RU,1539312135,98,67.47,78.7,33.57,14.45
163,Butaritari,44,KI,1539312135,100,3.07,172.79,83.43,7.74
164,Valkeala,90,FI,1539310800,93,60.94,26.8,50.0,12.75
165,Bosaso,0,SO,1539312135,100,11.28,49.18,81.63,4.5
166,Bud,56,NO,1539310800,62,62.91,6.91,62.6,10.29
167,Tsogni,44,GA,1539312136,100,-2.79,10.1,77.58,6.73
168,Maumere,0,ID,1539312136,92,-8.63,122.22,86.04,0.13
169,Eyl,36,SO,1539312136,97,7.98,49.82,74.97,8.86
170,La Rioja,80,AR,1539312136,85,-29.41,-66.86,55.17,6.73
171,Leningradskiy,80,RU,1539312136,98,69.38,178.42,35.51,13.22
172,Wajima,40,JP,1539309600,59,37.4,136.9,60.8,6.93
173,Ginir,100,ET,1539312137,83,7.14,40.71,62.1,3.27
174,Barrow,92,AR,1539312115,47,-38.31,-60.23,51.26,6.85
175,Okhotsk,0,RU,1539312137,92,59.36,143.24,38.66,5.17
176,Slatina,0,HR,1539312138,86,45.7,17.7,45.81,2.82
177,Los Lunas,1,US,1539310500,34,34.81,-106.76,66.02,12.75
178,Gazojak,0,TM,1539312138,91,41.19,61.4,47.25,7.18
179,Noumea,0,NC,1539309600,51,-22.28,166.46,84.2,10.29
180,Pokhara,0,NP,1539312138,62,28.21,83.99,62.15,2.37
181,Ilulissat,0,GL,1539309000,66,69.22,-51.1,10.4,3.36
182,Siderno,75,IT,1539309300,83,38.28,16.3,71.6,4.7
183,La Mana,40,EC,1539309600,71,-0.93,-79.22,51.8,9.17
184,Monze,0,ZM,1539312139,53,-16.28,27.48,60.84,8.3
185,Menongue,0,AO,1539312139,34,-14.66,17.68,60.71,3.94
186,Annau,0,TM,1539309600,62,37.89,58.52,53.6,2.24
187,Ulladulla,75,AU,1539309600,51,-35.36,150.48,62.6,14.99
188,Hudson Bay,0,CA,1539311938,84,52.86,-102.4,23.31,4.27
189,Jiexiu,0,CN,1539312140,52,37.02,111.92,55.35,4.27
190,Bystryy Istok,0,RU,1539312140,46,52.37,84.39,51.21,8.97
191,Rapid Valley,90,US,1539311040,85,44.06,-103.15,37.4,5.82
192,Ningyang,0,CN,1539312141,43,35.76,116.79,65.16,5.61
193,Bambanglipuro,0,ID,1539312141,54,-7.95,110.28,87.39,4.38
194,Pisco,90,PE,1539309600,88,-13.71,-76.2,64.4,16.11
195,Freetown,36,BS,1539312141,97,26.61,-78.36,82.62,10.65
196,Arman,90,RU,1539309600,87,59.7,150.17,44.6,2.24
197,Camacha,20,PT,1539309600,94,33.08,-16.33,69.8,3.36
198,Hithadhoo,48,MV,1539312142,98,-0.6,73.08,84.15,4.72
199,Quatre Cocos,20,MU,1539309600,64,-20.21,57.76,71.6,12.75
200,Namibe,68,AO,1539312142,100,-15.19,12.15,68.18,7.74
201,Komsomolskiy,92,RU,1539312143,96,67.55,63.78,31.77,17.25
202,Severo-Kurilsk,92,RU,1539312143,95,50.68,156.12,48.78,13.78
203,Karratha,0,AU,1539312143,16,-20.74,116.85,95.94,6.29
204,Kachiry,88,KZ,1539312143,45,53.07,76.1,51.21,16.46
205,Qaqortoq,20,GL,1539309000,53,60.72,-46.03,26.6,3.36
206,Coihaique,0,CL,1539309600,72,-45.58,-72.07,44.6,5.82
207,Thinadhoo,64,MV,1539312144,99,0.53,72.93,83.07,5.61
208,Codrington,92,AU,1539312144,95,-28.95,153.24,61.83,6.4
209,Meulaboh,64,ID,1539312144,100,4.14,96.13,79.83,2.15
210,Hualmay,88,PE,1539312127,99,-11.1,-77.61,59.31,5.84
211,Nishihara,75,JP,1539310200,60,35.74,139.53,71.6,8.05
212,Pacific Grove,1,US,1539309300,69,36.62,-121.92,62.6,6.93
213,Atikokan,56,CA,1539312145,84,48.76,-91.62,30.6,7.4
214,Bonnyville,90,CA,1539309600,74,54.27,-110.74,35.6,6.93
215,Castro,20,CL,1539312145,100,-42.48,-73.76,35.55,2.93
216,Ketchikan,90,US,1539311520,89,55.34,-131.65,51.08,12.75
217,Kalianget,8,ID,1539312146,51,-7.35,109.91,84.96,1.25
218,Dongsheng,12,CN,1539312146,57,29.72,112.52,70.7,8.86
219,Port Hardy,75,CA,1539309600,87,50.7,-127.42,50.0,3.94
220,Bredasdorp,92,ZA,1539309600,67,-34.53,20.04,59.0,9.17
221,Makakilo City,90,US,1539310200,74,21.35,-158.09,80.06,10.29
222,El Dorado,20,VE,1539312147,100,6.71,-61.64,72.54,1.92
223,Barao de Melgaco,40,BR,1539309600,94,-16.19,-55.97,73.4,1.12
224,Tilichiki,8,RU,1539312147,77,60.47,166.1,41.63,4.16
225,New Baltimore,90,US,1539310500,61,42.68,-82.74,49.28,11.41
226,Ancud,24,CL,1539312148,84,-41.87,-73.83,39.96,2.71
227,Lagoa,75,PT,1539309600,88,37.14,-8.45,69.8,3.36
228,Shangzhi,0,CN,1539312148,73,45.21,127.96,51.12,7.18
229,Cairns,0,AU,1539309600,58,-16.92,145.77,84.2,10.29
230,Burnie,76,AU,1539312149,100,-41.05,145.91,54.18,14.12
231,Koulikoro,20,ML,1539309600,88,12.86,-7.56,75.2,1.12
232,Gubkinskiy,92,RU,1539312149,99,64.43,76.5,39.33,9.75
233,Sao Joao da Barra,76,BR,1539312149,100,-21.64,-41.05,74.7,2.71
234,Hambantota,80,LK,1539312149,100,6.12,81.12,77.63,4.94
235,Kalabo,0,ZM,1539312150,41,-15.0,22.67,57.38,5.61
236,Takaka,92,NZ,1539312150,100,-40.86,172.81,47.03,9.98
237,Atasu,92,KZ,1539312150,54,48.68,71.64,45.81,17.69
238,Flinders,75,AU,1539309600,51,-34.58,150.85,62.6,14.99
239,Ndungu,24,TZ,1539312150,94,-4.38,38.06,55.53,2.37
240,Wagar,0,US,1539312151,50,31.44,-87.99,67.68,6.73
241,Vila Velha,0,BR,1539309600,83,-3.71,-38.6,78.8,10.29
242,Cap-aux-Meules,90,CA,1539309600,60,47.38,-61.86,42.8,16.11
243,Norman Wells,75,CA,1539309600,86,65.28,-126.83,28.4,3.36
244,Sibolga,88,ID,1539312151,99,1.74,98.78,72.45,2.37
245,Manicore,8,BR,1539312151,84,-5.81,-61.3,80.06,2.37
246,Zyryanka,76,RU,1539312152,87,65.73,150.89,24.66,3.38
247,Necochea,92,AR,1539312124,68,-38.55,-58.74,49.41,11.21
248,Carmelo,75,UY,1539309600,71,-34.0,-58.28,55.4,12.75
249,Bethel,90,US,1539309180,76,60.79,-161.76,46.94,11.41
250,Narsaq,20,GL,1539309000,53,60.91,-46.05,26.6,3.36
251,Mundra,88,IN,1539312153,72,22.84,69.73,80.46,12.66
252,Ishigaki,75,JP,1539309600,100,24.34,124.16,71.6,25.28
253,Dumbea,0,NC,1539309600,51,-22.15,166.45,84.2,10.29
254,Altus,90,US,1539310500,67,34.64,-99.33,60.8,5.82
255,Antsohihy,0,MG,1539312154,65,-14.88,47.99,74.43,11.99
256,Buerarema,40,BR,1539309600,78,-14.96,-39.3,78.8,6.93
257,Kastamonu,76,TR,1539312154,97,41.38,33.78,44.28,2.71
258,Llaillay,20,CL,1539309600,93,-32.84,-70.95,51.8,4.7
259,Tura,92,IN,1539312154,98,25.52,90.21,70.43,5.73
260,Eirunepe,76,BR,1539312155,93,-6.66,-69.87,77.18,1.59
261,Kampot,12,KH,1539312155,83,10.62,104.18,83.48,8.3
262,Arkhangelsk,40,RU,1539309600,89,64.54,40.54,33.8,2.24
263,Ust-Kuyga,64,RU,1539312155,92,70.0,135.55,22.91,4.38
264,Sola,0,NO,1539310800,67,58.89,5.65,60.8,17.22
265,Dalbandin,0,PK,1539312155,32,28.9,64.41,49.59,5.61
266,Nuuk,0,GL,1539309000,73,64.17,-51.74,24.8,11.41
267,Pevek,0,RU,1539312156,100,69.7,170.27,33.8,5.95
268,Zaysan,0,KZ,1539312156,74,47.47,84.87,44.6,3.49
269,Comodoro Rivadavia,0,AR,1539309600,34,-45.87,-67.48,53.6,9.17
270,Klaksvik,32,FO,1539310800,100,62.23,-6.59,48.2,10.29
271,Kurchum,0,KZ,1539312156,78,48.57,83.65,47.97,6.06
272,Ponce,68,PR,1539312156,100,18.01,-66.61,76.1,5.73
273,Salalah,0,OM,1539309000,66,17.01,54.1,84.2,19.46
274,Harper,90,US,1539310500,63,30.3,-99.24,69.98,3.36
275,Byron Bay,75,AU,1539309600,77,-28.65,153.62,66.2,11.41
276,Souillac,0,FR,1539311400,100,45.6,-0.6,62.6,3.36
277,Sao Francisco do Sul,90,BR,1539309600,100,-26.24,-48.64,62.6,3.36
278,Huarmey,36,PE,1539312158,90,-10.07,-78.15,53.06,3.94
279,Zeya,76,RU,1539312158,49,53.74,127.27,44.51,2.71
280,Orlik,0,RU,1539312158,73,52.51,99.83,27.86,2.48
281,La Ronge,5,CA,1539309600,69,55.1,-105.3,33.8,4.7
282,Tuatapere,88,NZ,1539312158,100,-46.13,167.69,44.01,19.15
283,Port Elizabeth,90,US,1539310620,96,39.31,-74.98,75.92,13.87
284,Raudeberg,48,NO,1539310800,59,61.99,5.14,60.8,14.99
285,Sao Paulo de Olivenca,64,BR,1539312159,91,-3.38,-68.87,77.0,2.59
286,Arraial do Cabo,92,BR,1539312159,98,-22.97,-42.02,73.17,4.5
287,Bukachacha,0,RU,1539312159,47,52.99,116.91,51.75,3.38
288,Pangnirtung,0,CA,1539312160,100,66.15,-65.72,14.31,11.65
289,Moose Factory,90,CA,1539310440,100,51.26,-80.61,33.8,11.41
290,Sao Filipe,0,CV,1539312160,95,14.9,-24.5,79.7,10.31
291,Ciudad Bolivar,24,VE,1539312160,95,8.12,-63.55,73.8,5.5
292,Amargosa,80,BR,1539312160,93,-13.03,-39.6,68.36,7.74
293,Tchollire,12,CM,1539312160,78,8.4,14.17,69.84,3.38
294,Valdivia,24,CL,1539309600,93,-39.81,-73.25,39.2,5.28
295,Petropavlovsk-Kamchatskiy,64,RU,1539309600,53,53.05,158.65,51.8,4.47
296,Cherskiy,48,RU,1539312161,96,68.75,161.3,26.64,2.04
297,Miri,36,NG,1539312161,77,10.31,9.75,71.55,3.6
298,Katangli,0,RU,1539312161,90,51.71,143.23,48.42,5.06
299,Namatanai,24,PG,1539312162,98,-3.66,152.44,84.87,7.74
300,Clinton,1,US,1539310500,81,41.84,-90.19,42.98,6.93
301,Cartagena,0,ES,1539311400,93,37.63,-1.0,64.4,5.82
302,Clonakilty,75,IE,1539311400,100,51.62,-8.87,53.6,25.28
303,Boa Esperanca do Sul,0,BR,1539312163,83,-21.99,-48.39,68.76,15.46
304,Rocha,92,UY,1539312163,99,-34.48,-54.34,46.17,8.63
305,Tarapur,20,IN,1539311400,61,22.49,72.66,82.4,3.36
306,Dulce Grande,40,MX,1539308940,59,23.0,-102.17,64.4,5.82
307,Broome,48,GB,1539310800,93,52.47,1.45,57.2,11.41
308,Poya,56,NC,1539312164,100,-21.35,165.16,71.73,5.73
309,Los Llanos de Aridane,0,ES,1539309600,60,28.66,-17.92,71.6,5.82
310,Villanueva,100,NI,1539312164,94,12.96,-86.82,74.97,2.71
311,Yeppoon,75,AU,1539309600,73,-23.13,150.74,77.0,5.82
312,Christchurch,76,NZ,1539309600,81,-43.53,172.64,42.8,19.46
313,Redcar,0,GB,1539310800,93,54.62,-1.06,51.8,5.82
314,Kuandian,0,CN,1539312165,68,40.73,124.78,52.43,3.6
315,Graciano Sanchez,80,MX,1539312165,100,23.92,-99.28,72.54,2.93
316,Haverfordwest,100,GB,1539309000,87,51.8,-4.97,57.2,35.57
317,Dondo,40,MZ,1539309600,88,-19.62,34.74,75.2,4.7
318,Touros,88,BR,1539312166,93,-5.2,-35.46,75.65,14.34
319,Rabo de Peixe,75,PT,1539309600,94,37.8,-25.58,71.6,24.16
320,Yarim,0,YE,1539312166,59,14.3,44.38,40.32,3.6
321,Kitimat,75,CA,1539309600,87,54.02,-128.69,50.0,26.4
322,Kasangulu,20,CD,1539309600,88,-4.59,15.17,73.4,3.36
323,Rio Brilhante,64,BR,1539312167,79,-21.8,-54.54,76.14,11.43
324,San Cristobal,40,EC,1539309600,71,-0.39,-78.55,51.8,9.17
325,Roald,44,NO,1539310800,51,62.58,6.12,60.8,13.87
326,Boulsa,0,BF,1539312168,90,12.66,-0.57,71.82,2.93
327,Point Pedro,0,LK,1539312168,100,9.82,80.23,81.36,12.66
328,Santa Cruz,1,US,1539309360,67,36.97,-122.03,66.2,3.36
329,Coquimbo,0,CL,1539309600,81,-29.95,-71.34,51.8,3.36
330,Smoky Lake,80,CA,1539312170,89,54.11,-112.47,32.76,7.74
331,Romny,0,UA,1539312170,82,50.74,33.49,37.53,5.06
332,Aranda de Duero,24,ES,1539312171,93,41.67,-3.69,49.1,5.17
333,Scottsbluff,1,US,1539309180,88,41.87,-103.67,41.0,9.17
334,Katsuura,75,JP,1539309600,55,33.93,134.5,62.6,3.36
335,Sioux Lookout,90,CA,1539309780,92,50.1,-91.92,28.4,10.29
336,Sorong,32,ID,1539312171,100,-0.86,131.25,80.46,4.27
337,Ossora,56,RU,1539312171,95,59.24,163.07,43.25,4.27
338,Rawson,0,AR,1539311909,37,-43.3,-65.11,57.6,19.26
339,Marawi,44,PH,1539312172,89,8.0,124.29,78.53,1.81
340,Ilek,0,RU,1539312172,72,51.53,53.38,35.55,11.54
341,Dakar,0,SN,1539309600,88,14.69,-17.45,80.6,4.7
342,Tshikapa,36,CD,1539312172,99,-6.42,20.79,71.19,1.92
343,Yellowknife,75,CA,1539309600,86,62.45,-114.38,30.2,5.82
344,Te Anau,88,NZ,1539312172,89,-45.41,167.72,35.19,11.1
345,Sinop,20,TR,1539312172,100,42.03,35.15,64.58,6.29
346,Lufilufi,64,WS,1539312173,100,-13.87,-171.6,81.99,16.58
347,Kenai,90,US,1539309360,68,60.55,-151.26,51.08,7.4
348,Portland,20,US,1539309360,50,45.52,-122.67,62.96,5.82
349,Lebu,0,ET,1539312173,79,8.96,38.73,39.78,3.6
350,Kabala,92,SL,1539312174,98,9.59,-11.55,73.35,3.71
351,Aklavik,90,CA,1539309600,92,68.22,-135.01,24.8,6.93
352,Mount Isa,44,AU,1539309600,19,-20.73,139.49,87.8,6.93
353,Arak,0,IR,1539312144,89,34.1,49.69,47.52,2.04
354,Verkhnyaya Khava,0,RU,1539309600,86,51.84,39.93,33.8,4.47
355,Baoying,0,CN,1539312174,68,33.24,119.31,66.78,4.61
356,San Quintin,20,PH,1539309600,62,17.54,120.52,87.8,2.24
357,Chaman,0,AF,1539312175,57,30.92,66.46,40.55,3.94
358,Ruteng,0,ID,1539312175,38,-8.61,120.46,89.78,2.82
359,Tromso,75,NO,1539309000,93,69.65,18.96,42.8,12.75
360,Gallatin,1,US,1539310500,76,36.39,-86.45,57.02,11.21
361,Nome,1,US,1539310500,76,30.04,-94.42,71.06,4.7
362,Kabompo,0,ZM,1539312176,40,-13.6,24.21,58.05,7.4
363,Reyes,92,BO,1539312176,99,-14.3,-67.34,73.17,1.03
364,Koslan,88,RU,1539312176,83,63.46,48.9,34.88,10.2
365,Pimentel,0,BR,1539312176,92,-3.7,-45.5,75.06,4.61
366,Olaya,75,CO,1539309600,87,6.63,-75.81,60.8,6.93
367,Tongliao,0,CN,1539312177,51,43.61,122.27,60.35,7.96
368,Konevo,48,BG,1539312177,74,41.67,25.61,56.48,9.98
369,Arinos,68,BR,1539312177,32,-15.92,-46.11,80.82,7.29
370,Anadyr,75,RU,1539309600,89,64.73,177.51,39.2,11.18
371,Lucapa,20,AO,1539312178,96,-8.42,20.74,64.8,2.82
372,Lerwick,92,GB,1539310800,93,60.15,-1.15,55.4,17.22
373,Ous,68,RU,1539312178,66,60.91,61.52,31.86,9.19
